folder_name,file_name,blur,contrast,brightness,resolution,dpi,noise,skew_angle_deg,shadow_coverage_pct,orientation,text_clarity,overall_quality_score,overall_quality
"310081 LM, No Future Loss od Income in case of Injury",161_STATEMENTS_OF_WITNESSES (20).pdf,2355.08,43.82,244.51,1190x1684,42,15.21,2.12,0.92,portrait,580.71,70.6,MODERATE
"310081 LM, No Future Loss od Income in case of Injury",AGE_PROOF_OF_INJURED___DECEASED (11).pdf,1278.2,36.77,247.14,1190x1684,42,10.68,0.0,2.69,portrait,175.24,70.6,MODERATE
"310081 LM, No Future Loss od Income in case of Injury",API_Petition (63).pdf,1603.1,32.91,246.11,1189x1702,200,12.76,2.41,0.0,portrait,423.29,72.2,MODERATE
"310081 LM, No Future Loss od Income in case of Injury",ARREST_MEMO (5).pdf,1894.2,37.39,246.72,1190x1684,42,13.56,0.0,0.12,portrait,479.58,74.7,MODERATE
"310081 LM, No Future Loss od Income in case of Injury",A_SUMMARY (9).pdf,1313.96,36.24,247.79,1190x1684,42,11.47,0.0,0.62,portrait,303.43,73.2,MODERATE
"310081 LM, No Future Loss od Income in case of Injury",FINAL_REPORT___CHARGE_SHEET - 2026-02-02T151645.623.pdf,4015.86,49.08,239.99,1190x1684,42,19.93,3.3,0.04,portrait,758.13,65.7,MODERATE
"310081 LM, No Future Loss od Income in case of Injury",FIR_IF_RECORDED_BY_POLICE - 2026-02-02T151649.492.pdf,4211.42,49.54,239.34,1190x1684,42,19.53,0.28,0.41,portrait,697.36,72.1,MODERATE
"310081 LM, No Future Loss od Income in case of Injury",MEDICAL_RECORDS (16).pdf,1694.32,37.77,246.51,1190x1684,42,12.45,1.08,1.83,portrait,409.44,73.3,MODERATE
"310081 LM, No Future Loss od Income in case of Injury",MOTOR_VEHICLE_INSPECTION_REPORT_OF_IV (8).pdf,1482.75,32.85,248.92,1190x1684,42,11.8,0.42,0.39,portrait,205.41,72.6,MODERATE
"310081 LM, No Future Loss od Income in case of Injury",PHOTO_OF_INJURED___CD (3).pdf,160.09,65.78,135.35,1190x1683,141,4.31,0.0,72.15,portrait,103.12,56.1,POOR
"310081 LM, No Future Loss od Income in case of Injury",RC_COPY_OF_IV (86).pdf,3191.66,45.34,242.43,1190x1684,42,17.74,0.49,1.07,portrait,698.54,72.1,MODERATE
"310081 LM, No Future Loss od Income in case of Injury",SEIZURE_MOMO_OF_IV (76).pdf,2697.38,51.37,239.34,1190x1684,42,16.74,0.56,0.25,portrait,742.71,74.4,MODERATE
"310081 LM, No Future Loss od Income in case of Injury",SPOT_PANCHANAMA_SKETCH (6).pdf,649.06,30.97,250.07,1190x1684,42,8.55,1.03,0.48,portrait,19.24,40.6,POOR
OC-25-1202-1802-00000002,AML_Documents_2024-04-02 10_26_24.0_250020634.JPG,292.25,67.49,209.35,1024x2129,153,5.52,0.0,25.02,portrait,128.13,60.6,MODERATE
OC-25-1202-1802-00000002,AML_Documents_2024-04-02 10_26_25.0_250020637.JPG,251.22,42.48,240.4,1024x2129,153,5.36,0.24,6.33,portrait,152.19,58.9,POOR
OC-25-1202-1802-00000002,AML_Documents_2024-04-02 10_26_25.0_250020638.JPG,444.98,73.74,211.83,1024x2129,153,6.76,0.38,25.57,portrait,243.2,70.0,MODERATE
OC-25-1202-1802-00000002,Chassis_(VIN)_Number_2024-04-02 10_22_25.0_250020163.JPG,16756.72,63.5,111.67,1024x768,92,25.55,0.0,85.1,landscape,355.32,71.3,MODERATE
OC-25-1202-1802-00000002,Claim_Form_2024-04-02 10_26_25.0_250020639.JPG,4977.2,36.59,172.44,768x1024,96,17.62,0.0,14.34,portrait,353.41,69.3,MODERATE
OC-25-1202-1802-00000002,Claim_Form_2024-04-02 15_00_32.0_250098637.JPG,8944.21,35.55,137.6,1024x768,92,23.13,0.8,30.35,landscape,428.93,62.7,MODERATE
OC-25-1202-1802-00000002,Follow-up_Letter_1_2024-04-18 12_32_56.0_252167982.pdf,3129.18,48.32,237.96,1189x1683,202,17.95,0.3,0.92,portrait,676.01,75.9,MODERATE
OC-25-1202-1802-00000002,Follow-up_Letter_2_2024-04-18 12_34_15.0_252168354.pdf,3138.53,43.75,242.21,1190x1681,200,17.34,0.0,0.83,portrait,632.0,75.8,MODERATE
OC-25-1202-1802-00000002,Follow-up_Letter_2_2024-04-23 18_43_12.0_252877131.pdf,3283.57,49.91,237.09,1190x1684,206,18.4,0.35,1.01,portrait,688.75,75.9,MODERATE
